epoch,accuracy,loss,mae,val_accuracy,val_loss,val_mae
0,0.09142441302537918,0.10202464461326599,0.2806321978569031,NA,NA,NA
1,0.1288808286190033,0.08596032112836838,0.24718806147575378,NA,NA,NA
2,0.14396075904369354,0.07764030992984772,0.22996631264686584,NA,NA,NA
3,0.14422237873077393,0.07303241640329361,0.21945567429065704,NA,NA,NA
4,0.14552326500415802,0.07065500319004059,0.21345065534114838,NA,NA,NA
5,0.15545059740543365,0.06582095474004745,0.20367154479026794,NA,NA,NA
6,0.15412063896656036,0.0669645220041275,0.20288482308387756,NA,NA,NA
7,0.156140998005867,0.0629340261220932,0.19719405472278595,NA,NA,NA
8,0.15189680457115173,0.06543602049350739,0.19985876977443695,NA,NA,NA
9,0.1629796177148819,0.06259701400995255,0.1943276822566986,NA,NA,NA
10,0.1644839644432068,0.060617681592702866,0.19081071019172668,NA,NA,NA
11,0.16243459284305573,0.06116291508078575,0.190463125705719,NA,NA,NA
12,0.1576671451330185,0.06044749170541763,0.18891124427318573,NA,NA,NA
13,0.16738373041152954,0.05729374662041664,0.1832353174686432,NA,NA,NA
14,0.16346655786037445,0.05834255740046501,0.1836513876914978,NA,NA,NA
15,0.1616133749485016,0.05705299600958824,0.18249687552452087,NA,NA,NA
16,0.1626017540693283,0.05882170423865318,0.1843869686126709,NA,NA,NA
17,0.16554509103298187,0.05693189054727554,0.18115903437137604,NA,NA,NA
18,0.16738374531269073,0.05622801557183266,0.18015582859516144,NA,NA,NA
19,0.16844476759433746,0.055863041430711746,0.17844349145889282,NA,NA,NA
20,0.1614461988210678,0.05629721283912659,0.17917613685131073,NA,NA,NA
21,0.1717441827058792,0.05360604450106621,0.17408020794391632,NA,NA,NA
22,0.17007990181446075,0.05468912422657013,0.17513352632522583,NA,NA,NA
23,0.1640843003988266,0.053708743304014206,0.17466755211353302,NA,NA,NA
24,0.1680668741464615,0.05535236746072769,0.17634567618370056,NA,NA,NA
25,0.16945494711399078,0.05361971631646156,0.17355722188949585,NA,NA,NA
26,0.1680668592453003,0.0539226308465004,0.17446912825107574,NA,NA,NA
27,0.17476016283035278,0.05231176316738129,0.17088079452514648,NA,NA,NA
28,0.1682121902704239,0.05342286825180054,0.17245854437351227,NA,NA,NA
29,0.17428778111934662,0.05155391991138458,0.1688258796930313,NA,NA,NA
0,0.16985464096069336,0.05393567681312561,0.17322860658168793,NA,NA,NA
1,0.17218749225139618,0.052258800715208054,0.17041632533073425,NA,NA,NA
2,0.17625728249549866,0.05154303088784218,0.16875271499156952,NA,NA,NA
3,0.1744258850812912,0.051179978996515274,0.16799668967723846,NA,NA,NA
4,0.17266717553138733,0.051469918340444565,0.16867031157016754,NA,NA,NA
5,0.18077033758163452,0.049590107053518295,0.16448374092578888,NA,NA,NA
6,0.1758139431476593,0.05180567502975464,0.16755133867263794,NA,NA,NA
7,0.1757849007844925,0.04944651573896408,0.1649264693260193,NA,NA,NA
8,0.1729505956172943,0.052311092615127563,0.16923855245113373,NA,NA,NA
9,0.18063227832317352,0.049762070178985596,0.16504624485969543,NA,NA,NA
10,0.1796002984046936,0.04939737543463707,0.16433218121528625,NA,NA,NA
11,0.18042878806591034,0.05004442110657692,0.16497041285037994,NA,NA,NA
12,0.17450584471225739,0.049929916858673096,0.1648750752210617,NA,NA,NA
13,0.18656976521015167,0.048028524965047836,0.16095079481601715,NA,NA,NA
14,0.1820421814918518,0.04927686229348183,0.16239948570728302,NA,NA,NA
